Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,1738.0,1637.0,1684.0,1636.0,1510.0,1380.0,1417.0,1231.0,1331.0,1354.0,1297.0
assault,84.0,58.0,104.0,70.0,76.0,65.0,52.0,32.0,53.0,49.0,53.0
murder,0.0,1.0,0.0,0.0,8.0,1.0,1.0,3.0,2.0,0.0,1.0
arson,18.0,10.0,14.0,9.0,5.0,6.0,7.0,3.0,3.0,7.0,5.0
robbery,58.0,46.0,30.0,55.0,36.0,53.0,46.0,50.0,45.0,37.0,39.0
mv-theft,179.0,123.0,93.0,107.0,84.0,86.0,92.0,53.0,61.0,69.0,110.0
burglary,276.0,218.0,268.0,297.0,253.0,256.0,288.0,221.0,189.0,151.0,152.0
property,2193.0,1978.0,2045.0,2040.0,1847.0,1722.0,1797.0,1505.0,1581.0,1574.0,1559.0
violent-crimes,151,111.0,140.0,137.0,131.0,128.0,111.0,101.0,111.0,104.0,107.0
rape,9.0,6.0,6.0,12.0,11.0,9.0,12.0,,11.0,18.0,14.0
