City,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Redding,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ridgefield,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rocky Hill,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Seymour,4.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0
Shelton,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Simsbury,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
South Windsor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,11.0,108.0,
Southington,,11.0,12.0,9.0,6.0,4.0,7.0,8.0,4.0,2.0,2.0,8.0
Stamford,,11.0,8.0,8.0,10.0,4.0,10.0,5.0,15.0,4.0,4.0,5.0
Stonington,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
Stratford,2.0,2.0,20.0,8.0,8.0,7.0,9.0,2.0,4.0,6.0,4.0,3.0
Suffield,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Thomaston,2.0,,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
Torrington,,9.0,7.0,0.0,2.0,5.0,4.0,1.0,3.0,4.0,3.0,1.0
Trumbull,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Vernon,,5.0,1.0,7.0,12.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0
Wallingford,4.0,5.0,2.0,5.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0
Waterbury,20.0,2.0,0.0,0.0,3.0,3.0,8.0,2.0,8.0,14.0,24.0,13.0
Waterford,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
Watertown,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Hartford,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0
West Haven,13.0,5.0,6.0,12.0,9.0,4.0,1.0,0.0,1.0,3.0,4.0,7.0
Weston,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Westport,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Wethersfield,2.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,,4.0
Willimantic,,0.0,1.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0
Wilton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winchester,5.0,5.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0
Windsor,1.0,1.0,3.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
Windsor Locks,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Wolcott,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Woodbridge,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
