Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,137.0,130.0,156.0,131.0,150.0,96.0,89.0,96.0,97.0,49.0,57.0,61.0
assault,8.0,10.0,1.0,6.0,13.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0
murder,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
robbery,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mv-theft,2.0,10.0,9.0,2.0,3.0,1.0,2.0,0.0,11.0,0.0,9.0,10.0
burglary,34.0,34.0,53.0,46.0,58.0,26.0,25.0,16.0,11.0,9.0,17.0,15.0
property,173.0,174.0,218.0,179.0,211.0,123.0,116.0,112.0,119.0,58.0,83.0,86.0
violent-crimes,8,10.0,5.0,6.0,18.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0
rape,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,
