Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,871.0,753.0,881.0,838.0,849.0,885.0,1000.0,936.0,942.0,768.0,820.0
assault,21.0,17.0,20.0,26.0,18.0,14.0,18.0,7.0,20.0,12.0,18.0
murder,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,0.0
robbery,11.0,14.0,12.0,9.0,15.0,9.0,13.0,16.0,9.0,5.0,17.0
mv-theft,72.0,56.0,48.0,54.0,77.0,52.0,70.0,39.0,29.0,35.0,61.0
burglary,167.0,174.0,152.0,218.0,118.0,194.0,231.0,173.0,196.0,142.0,121.0
property,1110.0,983.0,1081.0,1110.0,1044.0,1131.0,1301.0,1148.0,1167.0,945.0,1002.0
violent-crimes,36,33.0,39.0,37.0,35.0,24.0,33.0,28.0,33.0,21.0,38.0
rape,3.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,3.0
