Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,,126.0,202.0,135.0,154.0,130.0,151.0,96.0,101.0,108.0,58.0
assault,,3.0,0.0,6.0,10.0,4.0,2.0,0.0,5.0,6.0,2.0
murder,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
robbery,,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0
mv-theft,,3.0,5.0,5.0,2.0,5.0,2.0,4.0,6.0,7.0,5.0
burglary,,32.0,41.0,42.0,48.0,54.0,32.0,23.0,65.0,35.0,20.0
property,,161.0,248.0,182.0,204.0,189.0,185.0,123.0,172.0,150.0,83.0
violent-crimes,,7.0,2.0,8.0,16.0,13.0,7.0,2.0,11.0,12.0,3.0
rape,,4.0,1.0,1.0,3.0,6.0,5.0,2.0,5.0,5.0,0.0
