Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,436.0,537.0,637.0,610.0,609.0,598.0,449.0,433.0,492.0,744.0,796.0
assault,2.0,5.0,6.0,5.0,10.0,6.0,3.0,0.0,7.0,9.0,8.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
robbery,9.0,14.0,15.0,13.0,8.0,14.0,11.0,9.0,16.0,17.0,23.0
mv-theft,48.0,54.0,44.0,80.0,35.0,23.0,30.0,31.0,27.0,24.0,23.0
burglary,62.0,43.0,61.0,108.0,51.0,69.0,52.0,84.0,76.0,82.0,77.0
property,546.0,634.0,742.0,798.0,695.0,690.0,531.0,548.0,595.0,850.0,896.0
violent-crimes,14,22.0,21.0,23.0,21.0,20.0,14.0,9.0,29.0,32.0,42.0
rape,3.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,6.0,6.0,11.0
