Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,1.0,0.0,1.0
Violent crime,6,8.0,4.0,10.0,,4.0,7.0,10.0,9.0,7.0,9.0
Murder,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0
Aggravated assault,2.0,1.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0
Robbery,3.0,7.0,3.0,10.0,,3.0,5.0,9.0,5.0,6.0,6.0
Burglary,51.0,43.0,45.0,50.0,,61.0,33.0,25.0,32.0,55.0,39.0
Motor vehicle theft theft,19.0,14.0,8.0,10.0,,16.0,11.0,14.0,22.0,13.0,18.0
Larceny-theft,326.0,423.0,420.0,387.0,,329.0,332.0,290.0,301.0,324.0,285.0
Rape,1.0,0.0,0.0,0.0,,1.0,2.0,0.0,1.0,1.0,2.0
Property crime,396.0,480.0,473.0,447.0,,406.0,376.0,329.0,355.0,392.0,342.0
