Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,4374.0,4299.0,4575.0,4422.0,3441.0,3326.0,3538.0,3381.0,3422.0,3193.0,2711.0
assault,146.0,167.0,190.0,180.0,179.0,160.0,131.0,161.0,147.0,174.0,295.0
murder,7.0,3.0,5.0,6.0,5.0,7.0,5.0,5.0,7.0,4.0,10.0
arson,20.0,2.0,0.0,0.0,3.0,3.0,8.0,2.0,8.0,14.0,24.0
robbery,216.0,202.0,170.0,174.0,176.0,183.0,185.0,242.0,220.0,257.0,216.0
mv-theft,620.0,532.0,432.0,464.0,424.0,427.0,513.0,689.0,709.0,809.0,733.0
burglary,1045.0,872.0,651.0,749.0,781.0,818.0,662.0,566.0,460.0,522.0,755.0
property,6039.0,5703.0,5658.0,5635.0,4646.0,4571.0,4713.0,4636.0,4591.0,4524.0,4199.0
violent-crimes,408,390.0,384.0,375.0,366.0,359.0,328.0,410.0,408.0,467.0,550.0
rape,39.0,18.0,19.0,15.0,6.0,9.0,7.0,,34.0,32.0,29.0
