City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Milford,Milford Police Dept,CT,28.0,34.0,57.0,40.0,37.0,42.0,26.0,48.0,44.0,33.0,42.0,31.0,38.0,27.0,43.0,17.0,36.0,28.0,36.0,37.0,20.0,19.0,41.0,28.0,31.0,19.0,23.0,33.0,23.0,21.0,,19.0,41.0,28.0,31.0,19.0,23.0,33.0,23.0,21.0,26.0,27.0,0.0,0.0,19.0,0.0,0.0,41.0,0.0,0.0,28.0,0.0,0.0,31.0,0.0,0.0,19.0,0.0,0.0,23.0,0.0,0.0,33.0,0.0,0.0,23.0,0.0,0.0,21.0
Monroe,Monroe Police Dept,CT,2.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,-1.0,-0.5,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,-0.666666666667,,0.0,0.0,1.0
Naugatuck,Naugatuck Police Dept,CT,5.0,3.0,5.0,5.0,7.0,4.0,11.0,10.0,2.0,4.0,6.0,19.0,4.0,1.0,8.0,7.0,12.0,11.0,9.0,9.0,11.0,6.0,6.0,9.0,12.0,9.0,11.0,11.0,13.0,10.0,,,5.0,9.0,11.0,9.0,11.0,11.0,13.0,10.0,13.0,13.0,,,,-1.0,-0.166666666667,,0.0,0.0,9.0,-1.0,-0.0833333333333,,0.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,10.0
New Britain,New Britain Police Dept,CT,205.0,248.0,263.0,232.0,195.0,235.0,305.0,251.0,215.0,236.0,236.0,252.0,192.0,205.0,134.0,169.0,152.0,158.0,122.0,166.0,189.0,194.0,200.0,146.0,154.0,157.0,143.0,179.0,110.0,110.0,,194.0,200.0,146.0,154.0,157.0,143.0,179.0,110.0,110.0,114.0,73.0,0.0,0.0,194.0,0.0,0.0,200.0,0.0,0.0,146.0,0.0,0.0,154.0,0.0,0.0,157.0,0.0,0.0,143.0,0.0,0.0,179.0,0.0,0.0,110.0,0.0,0.0,110.0
New Canaan,New Canaan Police Dept,CT,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0
New Haven,New Haven Police Dept,CT,1131.0,1174.0,1015.0,1325.0,1475.0,1784.0,1355.0,1227.0,1238.0,1150.0,953.0,1207.0,1094.0,825.0,831.0,660.0,767.0,676.0,,,,945.0,961.0,905.0,908.0,787.0,766.0,844.0,787.0,594.0,,,,,906.0,787.0,766.0,844.0,770.0,591.0,,400.0,,,,,,,,,,-2.0,-0.00220264317181,,0.0,0.0,787.0,0.0,0.0,766.0,0.0,0.0,844.0,-17.0,-0.0216010165184,,-3.0,-0.00505050505051,
New London,New London Police Dept,CT,64.0,87.0,90.0,88.0,80.0,83.0,88.0,77.0,74.0,58.0,73.0,38.0,46.0,59.0,57.0,49.0,43.0,60.0,59.0,57.0,63.0,64.0,44.0,23.0,55.0,50.0,41.0,45.0,50.0,40.0,,,,22.0,56.0,50.0,41.0,45.0,50.0,40.0,26.0,30.0,,,,,,,-1.0,-0.0434782608696,,1.0,0.0181818181818,,0.0,0.0,50.0,0.0,0.0,41.0,0.0,0.0,45.0,0.0,0.0,50.0,0.0,0.0,40.0
New Milford,New Milford Police Dept,CT,2.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,7.0,2.0,4.0,1.0,5.0,5.0,2.0,8.0,3.0,4.0,1.0,6.0,1.0,5.0,1.0,5.0,7.0,,3.0,4.0,1.0,6.0,1.0,5.0,1.0,5.0,7.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,7.0
Newington,Newington Police Dept,CT,18.0,9.0,10.0,11.0,8.0,14.0,18.0,13.0,3.0,9.0,12.0,10.0,9.0,10.0,10.0,9.0,15.0,18.0,16.0,24.0,14.0,13.0,15.0,15.0,16.0,17.0,12.0,14.0,9.0,14.0,,13.0,15.0,15.0,16.0,17.0,12.0,14.0,9.0,14.0,23.0,10.0,0.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17.0,0.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,14.0
Newtown,Newtown Police Dept,CT,4.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,,,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0
