Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Violent crime,,4.0,6.0,10.0,12.0,5.0,10.0,10.0,3.0,3.0,9.0
Murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,,0.0,2.0,7.0,11.0,5.0,8.0,10.0,3.0,2.0,7.0
Robbery,,4.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0
Burglary,,21.0,27.0,13.0,22.0,18.0,21.0,9.0,20.0,13.0,11.0
Motor vehicle theft theft,,3.0,3.0,6.0,11.0,7.0,3.0,5.0,3.0,4.0,6.0
Larceny-theft,,67.0,62.0,63.0,38.0,59.0,52.0,29.0,40.0,55.0,62.0
Rape,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Property crime,,91.0,92.0,82.0,71.0,84.0,76.0,43.0,63.0,72.0,79.0
