Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,,,,1080.0,1013.0,942.0,714.0,753.0,598.0,,735.0
assault,,,,1206.0,1112.0,893.0,954.0,778.0,697.0,,740.0
murder,,,,12.0,23.0,34.0,17.0,19.0,12.0,,13.0
arson,,,,16.0,17.0,18.0,15.0,15.0,15.0,,21.0
robbery,,,,906.0,787.0,766.0,844.0,770.0,591.0,,400.0
burglary,,,,1430.0,1399.0,1413.0,1451.0,1082.0,990.0,,832.0
property,,,,7043.0,7227.0,6479.0,6516.0,6068.0,5167.0,,5492.0
violent-crimes,,,,2183.0,1992.0,1748.0,1870.0,1643.0,1380.0,,1219.0
rape,,,,59.0,70.0,55.0,55.0,76.0,80.0,,66.0
larceny-theft,,,,4533.0,4815.0,4124.0,4351.0,4233.0,3579.0,,3925.0
