Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,12.0,,18.0,10.0,5.0,8.0,8.0,5.0,6.0,4.0,8.0
assault,1.0,,1.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,7.0
murder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,2.0,,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
robbery,0.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
burglary,28.0,,17.0,24.0,27.0,31.0,58.0,46.0,19.0,9.0,26.0
property,139.0,,126.0,121.0,127.0,131.0,138.0,108.0,84.0,54.0,150.0
violent-crimes,1,,2.0,2.0,1.0,4.0,4.0,6.0,3.0,4.0,12.0
rape,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
larceny-theft,99.0,,91.0,87.0,95.0,92.0,72.0,57.0,59.0,41.0,116.0
