Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,4400.0,4223.0,3768.0,3375.0,2377.0,3025.0,2908.0,2610.0,2402.0,2053.0,1857.0
assault,753.0,837.0,823.0,777.0,772.0,701.0,744.0,720.0,689.0,456.0,595.0
murder,28.0,14.0,20.0,12.0,22.0,20.0,22.0,11.0,11.0,19.0,10.0
arson,,43.0,61.0,42.0,20.0,24.0,25.0,31.0,32.0,8.0,9.0
robbery,659.0,675.0,737.0,680.0,561.0,610.0,606.0,584.0,546.0,441.0,441.0
mv-theft,1225.0,1153.0,1137.0,964.0,858.0,1042.0,868.0,663.0,754.0,626.0,734.0
burglary,1362.0,1201.0,1269.0,1276.0,1448.0,1540.0,1377.0,1191.0,1129.0,817.0,667.0
property,6987.0,6577.0,6174.0,5615.0,4683.0,5607.0,5153.0,4464.0,4285.0,3496.0,3258.0
violent-crimes,1509,1603.0,1638.0,1527.0,1412.0,1447.0,1760.0,1397.0,1338.0,996.0,1115.0
rape,69.0,77.0,58.0,58.0,57.0,116.0,388.0,,92.0,80.0,69.0
