City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Naugatuck,Naugatuck Police Dept,CT,22.0,17.0,31.0,47.0,33.0,27.0,24.0,28.0,17.0,10.0,18.0,24.0,17.0,16.0,56.0,39.0,32.0,18.0,20.0,20.0,7.0,5.0,13.0,13.0,9.0,13.0,9.0,12.0,16.0,13.0,,,13.0,13.0,9.0,12.0,9.0,12.0,10.0,13.0,10.0,16.0,,,,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,9.0,-1.0,-0.0769230769231,,0.0,0.0,9.0,0.0,0.0,12.0,-6.0,-0.375,,0.0,0.0,13.0
New Britain,New Britain Police Dept,CT,215.0,164.0,231.0,206.0,165.0,186.0,304.0,240.0,269.0,253.0,329.0,359.0,245.0,244.0,195.0,177.0,168.0,148.0,145.0,115.0,158.0,125.0,117.0,120.0,133.0,143.0,178.0,130.0,133.0,151.0,,125.0,117.0,120.0,133.0,143.0,178.0,130.0,133.0,151.0,108.0,95.0,0.0,0.0,125.0,0.0,0.0,117.0,0.0,0.0,120.0,0.0,0.0,133.0,0.0,0.0,143.0,0.0,0.0,178.0,0.0,0.0,130.0,0.0,0.0,133.0,0.0,0.0,151.0
New Canaan,New Canaan Police Dept,CT,1.0,,1.0,0.0,2.0,5.0,11.0,3.0,5.0,0.0,4.0,0.0,1.0,0.0,6.0,3.0,0.0,2.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,,2.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,,0.0,0.0,,0.0
New Haven,New Haven Police Dept,CT,891.0,945.0,1020.0,1474.0,1549.0,2008.0,2018.0,1845.0,1154.0,1364.0,1157.0,1267.0,1136.0,1195.0,1018.0,974.0,1072.0,960.0,,,,1112.0,1245.0,1225.0,1215.0,1114.0,893.0,954.0,810.0,736.0,,,,,1206.0,1112.0,893.0,954.0,778.0,697.0,,740.0,,,,,,,,,,-9.0,-0.00740740740741,,-2.0,-0.00179533213645,,0.0,0.0,893.0,0.0,0.0,954.0,-32.0,-0.0395061728395,,-39.0,-0.0529891304348,
New London,New London Police Dept,CT,74.0,79.0,77.0,126.0,157.0,179.0,184.0,149.0,69.0,80.0,118.0,83.0,119.0,129.0,169.0,146.0,131.0,73.0,99.0,130.0,87.0,69.0,159.0,161.0,194.0,219.0,257.0,308.0,223.0,102.0,,,,161.0,190.0,220.0,257.0,308.0,223.0,101.0,106.0,151.0,,,,,,,0.0,0.0,161.0,-4.0,-0.020618556701,,1.0,0.00456621004566,,0.0,0.0,257.0,0.0,0.0,308.0,0.0,0.0,223.0,-1.0,-0.00980392156863,
New Milford,New Milford Police Dept,CT,17.0,14.0,23.0,20.0,9.0,10.0,5.0,10.0,21.0,20.0,7.0,8.0,11.0,30.0,26.0,14.0,24.0,13.0,4.0,9.0,5.0,13.0,13.0,7.0,8.0,14.0,10.0,11.0,16.0,8.0,,13.0,13.0,7.0,8.0,14.0,10.0,11.0,17.0,8.0,12.0,18.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,0.0,11.0,1.0,0.0625,,0.0,0.0,8.0
Newington,Newington Police Dept,CT,40.0,11.0,17.0,27.0,24.0,13.0,11.0,22.0,16.0,11.0,32.0,15.0,8.0,10.0,5.0,0.0,11.0,24.0,8.0,2.0,1.0,0.0,0.0,3.0,2.0,10.0,11.0,5.0,8.0,4.0,,0.0,0.0,3.0,2.0,10.0,11.0,5.0,8.0,4.0,2.0,7.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,4.0
Newtown,Newtown Police Dept,CT,24.0,43.0,6.0,5.0,5.0,7.0,1.0,0.0,2.0,2.0,6.0,8.0,9.0,6.0,7.0,6.0,4.0,6.0,3.0,12.0,4.0,1.0,3.0,0.0,6.0,10.0,4.0,2.0,0.0,5.0,,,3.0,0.0,6.0,10.0,4.0,2.0,0.0,5.0,6.0,2.0,,,,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,5.0
North Branford,North Branford Police Dept,CT,6.0,5.0,3.0,9.0,1.0,7.0,8.0,5.0,5.0,1.0,4.0,1.0,7.0,6.0,5.0,8.0,2.0,6.0,3.0,12.0,14.0,15.0,14.0,8.0,3.0,7.0,0.0,2.0,3.0,1.0,,15.0,14.0,9.0,3.0,7.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,14.0,1.0,0.125,,0.0,0.0,3.0,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
North Haven,North Haven Police Dept,CT,8.0,10.0,10.0,12.0,35.0,22.0,50.0,10.0,10.0,16.0,14.0,18.0,23.0,8.0,9.0,4.0,5.0,8.0,3.0,2.0,6.0,6.0,7.0,4.0,2.0,7.0,5.0,1.0,4.0,11.0,,,7.0,4.0,2.0,7.0,5.0,1.0,4.0,9.0,4.0,14.0,,,,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,-2.0,-0.181818181818,
