Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,1284.0,1352.0,1166.0,1092.0,995.0,880.0,1076.0,1095.0,987.0,650.0,795.0
assault,115.0,156.0,323.0,322.0,367.0,200.0,259.0,220.0,101.0,27.0,70.0
murder,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0
arson,13.0,5.0,6.0,12.0,9.0,4.0,1.0,0.0,1.0,3.0,4.0
robbery,58.0,68.0,60.0,57.0,56.0,44.0,58.0,68.0,44.0,33.0,48.0
mv-theft,264.0,271.0,186.0,199.0,197.0,182.0,174.0,243.0,244.0,99.0,119.0
burglary,233.0,233.0,235.0,241.0,208.0,203.0,197.0,178.0,289.0,118.0,128.0
property,1781.0,1856.0,1587.0,1532.0,1400.0,1265.0,1447.0,1516.0,1520.0,867.0,1042.0
violent-crimes,175,226.0,383.0,380.0,428.0,245.0,319.0,290.0,145.0,68.0,135.0
rape,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,7.0,15.0
