Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,87.0,85.0,62.0,67.0,49.0,51.0,50.0,52.0,50.0,39.0,50.0
assault,89.0,103.0,100.0,94.0,75.0,61.0,45.0,86.0,114.0,86.0,84.0
murder,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0
arson,5.0,15.0,19.0,6.0,19.0,16.0,15.0,7.0,6.0,6.0,7.0
robbery,68.0,47.0,49.0,44.0,46.0,45.0,35.0,29.0,23.0,28.0,21.0
burglary,178.0,242.0,272.0,215.0,266.0,235.0,274.0,306.0,210.0,154.0,152.0
property,1019.0,953.0,944.0,1079.0,971.0,856.0,963.0,1002.0,848.0,625.0,621.0
violent-crimes,181,170.0,178.0,165.0,144.0,133.0,99.0,130.0,153.0,127.0,121.0
rape,23.0,20.0,28.0,25.0,21.0,25.0,18.0,,16.0,11.0,15.0
larceny-theft,754.0,626.0,610.0,797.0,656.0,570.0,639.0,644.0,588.0,432.0,419.0
