Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,28.0,9.0,4.0,8.0,6.0,5.0,9.0,5.0,6.0,8.0,9.0
Violent crime,222,173.0,172.0,176.0,144.0,144.0,222.0,175.0,181.0,197.0,227.0
Murder,3.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
Aggravated assault,73.0,61.0,88.0,73.0,68.0,78.0,116.0,71.0,96.0,76.0,129.0
Robbery,135.0,106.0,72.0,88.0,70.0,57.0,76.0,85.0,68.0,90.0,68.0
Burglary,433.0,459.0,409.0,393.0,416.0,444.0,421.0,385.0,306.0,321.0,292.0
Motor vehicle theft theft,215.0,186.0,161.0,125.0,132.0,141.0,168.0,146.0,150.0,127.0,161.0
Larceny-theft,1463.0,1448.0,1473.0,1574.0,1289.0,1136.0,1223.0,972.0,958.0,992.0,914.0
Rape,11.0,6.0,10.0,12.0,6.0,9.0,25.0,,17.0,30.0,28.0
Property crime,2111.0,2093.0,2043.0,2092.0,1837.0,1721.0,1812.0,1503.0,1414.0,1440.0,1367.0
