Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,10.0,2.0,13.0,18.0,23.0,24.0,7.0,12.0,14.0,9.0,9.0
assault,15.0,14.0,9.0,3.0,7.0,0.0,2.0,3.0,1.0,0.0,2.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
arson,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
robbery,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
burglary,31.0,37.0,37.0,46.0,48.0,33.0,34.0,14.0,26.0,31.0,19.0
property,202.0,200.0,214.0,247.0,277.0,247.0,201.0,170.0,191.0,181.0,125.0
violent-crimes,18,14.0,14.0,5.0,8.0,1.0,5.0,5.0,3.0,4.0,6.0
rape,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0
larceny-theft,161.0,161.0,164.0,183.0,206.0,190.0,160.0,144.0,151.0,141.0,97.0
