Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,317.0,289.0,282.0,288.0,313.0,337.0,412.0,298.0,389.0,357.0,328.0,243.0
assault,15.0,38.0,41.0,25.0,23.0,27.0,16.0,25.0,20.0,15.0,8.0,16.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,0.0,7.0,4.0,5.0,3.0,7.0,3.0,3.0,7.0,6.0,12.0,3.0
mv-theft,24.0,27.0,9.0,8.0,15.0,23.0,22.0,43.0,18.0,24.0,32.0,23.0
burglary,94.0,44.0,62.0,65.0,71.0,88.0,86.0,60.0,72.0,72.0,75.0,47.0
property,435.0,360.0,353.0,361.0,399.0,448.0,520.0,401.0,479.0,453.0,435.0,313.0
violent-crimes,16,45.0,49.0,36.0,29.0,37.0,25.0,32.0,31.0,24.0,21.0,19.0
rape,1.0,0.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,
