Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,City
Arson,,3.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0,Bloomfield
Violent crime,,54.0,32.0,47.0,32.0,43.0,31.0,46.0,39.0,57.0,52.0,Bloomfield
Murder,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Bloomfield
Aggravated assault,,32.0,16.0,22.0,19.0,28.0,18.0,26.0,21.0,42.0,32.0,Bloomfield
Robbery,,13.0,12.0,12.0,9.0,8.0,8.0,10.0,12.0,6.0,11.0,Bloomfield
Burglary,,82.0,77.0,101.0,76.0,83.0,69.0,51.0,79.0,66.0,54.0,Bloomfield
Motor vehicle theft theft,,55.0,53.0,31.0,20.0,27.0,32.0,22.0,22.0,22.0,43.0,Bloomfield
Larceny-theft,,440.0,423.0,367.0,394.0,345.0,404.0,391.0,402.0,417.0,418.0,Bloomfield
Rape,,9.0,4.0,12.0,3.0,6.0,5.0,9.0,6.0,8.0,9.0,Bloomfield
Property crime,,577.0,553.0,499.0,490.0,455.0,505.0,464.0,503.0,505.0,515.0,Bloomfield
Arson,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Branford
Violent crime,,31.0,45.0,24.0,37.0,26.0,21.0,16.0,25.0,17.0,10.0,Branford
Murder,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Branford
Aggravated assault,,16.0,23.0,14.0,30.0,15.0,11.0,13.0,16.0,12.0,3.0,Branford
Robbery,,9.0,9.0,9.0,6.0,11.0,10.0,3.0,8.0,5.0,5.0,Branford
Burglary,,98.0,77.0,82.0,101.0,81.0,56.0,55.0,54.0,36.0,32.0,Branford
Motor vehicle theft theft,,54.0,59.0,31.0,50.0,55.0,24.0,40.0,23.0,33.0,29.0,Branford
Larceny-theft,,628.0,670.0,558.0,653.0,613.0,595.0,539.0,584.0,622.0,482.0,Branford
Rape,,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Branford
Property crime,,780.0,806.0,671.0,804.0,749.0,675.0,634.0,661.0,691.0,543.0,Branford
Arson,,43.0,61.0,42.0,20.0,24.0,25.0,31.0,32.0,8.0,9.0,Bridgeport
Violent crime,1509,1603.0,1638.0,1527.0,1412.0,1447.0,1760.0,1397.0,1338.0,996.0,1115.0,Bridgeport
Murder,28.0,14.0,20.0,12.0,22.0,20.0,22.0,11.0,11.0,19.0,10.0,Bridgeport
Aggravated assault,753.0,837.0,823.0,777.0,772.0,701.0,744.0,720.0,689.0,456.0,595.0,Bridgeport
Robbery,659.0,675.0,737.0,680.0,561.0,610.0,606.0,584.0,546.0,441.0,441.0,Bridgeport
Burglary,1362.0,1201.0,1269.0,1276.0,1448.0,1540.0,1377.0,1191.0,1129.0,817.0,667.0,Bridgeport
Motor vehicle theft theft,1225.0,1153.0,1137.0,964.0,858.0,1042.0,868.0,663.0,754.0,626.0,734.0,Bridgeport
Larceny-theft,4400.0,4223.0,3768.0,3375.0,2377.0,3025.0,2908.0,2610.0,2402.0,2053.0,1857.0,Bridgeport
Rape,69.0,77.0,58.0,58.0,57.0,116.0,388.0,,92.0,80.0,69.0,Bridgeport
Property crime,6987.0,6577.0,6174.0,5615.0,4683.0,5607.0,5153.0,4464.0,4285.0,3496.0,3258.0,Bridgeport
Arson,8.0,4.0,0.0,0.0,0.0,9.0,7.0,6.0,5.0,0.0,2.0,Bristol
Violent crime,173,187.0,236.0,182.0,200.0,118.0,93.0,82.0,72.0,78.0,55.0,Bristol
Murder,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,Bristol
Aggravated assault,101.0,110.0,157.0,123.0,140.0,55.0,30.0,20.0,23.0,27.0,22.0,Bristol
Robbery,58.0,65.0,51.0,32.0,32.0,52.0,51.0,45.0,35.0,40.0,23.0,Bristol
Burglary,466.0,402.0,348.0,250.0,290.0,365.0,355.0,310.0,335.0,218.0,183.0,Bristol
Motor vehicle theft theft,128.0,100.0,87.0,77.0,71.0,114.0,112.0,127.0,99.0,122.0,110.0,Bristol
Larceny-theft,1098.0,1046.0,1027.0,777.0,974.0,1017.0,1123.0,963.0,1079.0,878.0,660.0,Bristol
Rape,13.0,12.0,27.0,26.0,27.0,10.0,9.0,15.0,11.0,11.0,10.0,Bristol
Property crime,1692.0,1548.0,1462.0,1104.0,1335.0,1496.0,1590.0,1400.0,1513.0,1218.0,953.0,Bristol
Arson,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brookfield
Violent crime,,3.0,6.0,5.0,5.0,10.0,2.0,9.0,3.0,6.0,10.0,Brookfield
Murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brookfield
Aggravated assault,,1.0,1.0,3.0,3.0,4.0,2.0,9.0,1.0,5.0,9.0,Brookfield
Robbery,,2.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,1.0,Brookfield
Burglary,,34.0,27.0,24.0,39.0,34.0,36.0,16.0,19.0,20.0,22.0,Brookfield
Motor vehicle theft theft,,8.0,9.0,6.0,1.0,6.0,6.0,5.0,4.0,7.0,9.0,Brookfield
Larceny-theft,,128.0,131.0,138.0,102.0,160.0,149.0,141.0,139.0,110.0,95.0,Brookfield
Rape,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brookfield
Property crime,,170.0,167.0,168.0,142.0,200.0,191.0,162.0,162.0,137.0,126.0,Brookfield
Arson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canton
Violent crime,4,3.0,3.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,Canton
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canton
Aggravated assault,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Canton
Robbery,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Canton
Burglary,17.0,23.0,16.0,8.0,14.0,21.0,7.0,15.0,11.0,5.0,4.0,Canton
Motor vehicle theft theft,12.0,5.0,5.0,6.0,2.0,3.0,3.0,1.0,0.0,0.0,9.0,Canton
Larceny-theft,100.0,105.0,105.0,72.0,98.0,82.0,78.0,56.0,61.0,44.0,107.0,Canton
Rape,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,Canton
Property crime,129.0,133.0,126.0,86.0,114.0,106.0,88.0,72.0,72.0,49.0,120.0,Canton
Arson,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Cheshire
Violent crime,8,9.0,7.0,13.0,12.0,12.0,4.0,2.0,6.0,9.0,4.0,Cheshire
Murder,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Cheshire
Aggravated assault,2.0,4.0,5.0,12.0,10.0,9.0,0.0,1.0,3.0,6.0,2.0,Cheshire
Robbery,3.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,Cheshire
Burglary,41.0,62.0,50.0,59.0,62.0,71.0,48.0,28.0,40.0,18.0,29.0,Cheshire
Motor vehicle theft theft,15.0,13.0,11.0,8.0,11.0,9.0,7.0,10.0,29.0,10.0,31.0,Cheshire
Larceny-theft,191.0,196.0,232.0,226.0,230.0,204.0,210.0,166.0,171.0,161.0,184.0,Cheshire
Rape,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Cheshire
Property crime,247.0,271.0,293.0,293.0,303.0,284.0,265.0,204.0,240.0,189.0,244.0,Cheshire
Arson,,1.0,2.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0,Clinton
Violent crime,,15.0,17.0,16.0,17.0,19.0,27.0,21.0,18.0,18.0,20.0,Clinton
Murder,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Clinton
Aggravated assault,,7.0,8.0,9.0,8.0,10.0,8.0,12.0,11.0,9.0,12.0,Clinton
Robbery,,3.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,4.0,1.0,Clinton
Burglary,,29.0,16.0,51.0,134.0,54.0,53.0,58.0,51.0,39.0,26.0,Clinton
Motor vehicle theft theft,,11.0,9.0,1.0,6.0,2.0,8.0,0.0,8.0,3.0,18.0,Clinton
Larceny-theft,,216.0,344.0,252.0,248.0,262.0,241.0,208.0,203.0,247.0,238.0,Clinton
Rape,,5.0,7.0,3.0,7.0,7.0,16.0,6.0,7.0,5.0,7.0,Clinton
Property crime,,256.0,369.0,304.0,388.0,318.0,302.0,266.0,262.0,289.0,282.0,Clinton
Arson,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Coventry
Violent crime,,8.0,12.0,20.0,7.0,15.0,2.0,9.0,9.0,1.0,3.0,Coventry
Murder,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Coventry
Aggravated assault,,7.0,11.0,15.0,2.0,6.0,0.0,5.0,3.0,0.0,2.0,Coventry
Robbery,,0.0,0.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,Coventry
Burglary,,54.0,33.0,56.0,45.0,67.0,67.0,39.0,36.0,27.0,21.0,Coventry
Motor vehicle theft theft,,8.0,6.0,6.0,11.0,6.0,2.0,6.0,8.0,2.0,7.0,Coventry
Larceny-theft,,94.0,98.0,99.0,109.0,118.0,101.0,101.0,89.0,63.0,99.0,Coventry
Rape,,1.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0,Coventry
Property crime,,156.0,137.0,161.0,165.0,191.0,170.0,146.0,133.0,92.0,127.0,Coventry
Arson,,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cromwell
Violent crime,,20.0,17.0,14.0,17.0,6.0,11.0,9.0,8.0,9.0,7.0,Cromwell
Murder,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cromwell
Aggravated assault,,7.0,12.0,6.0,4.0,1.0,4.0,1.0,5.0,5.0,3.0,Cromwell
Robbery,,10.0,3.0,6.0,12.0,4.0,6.0,8.0,1.0,4.0,4.0,Cromwell
Burglary,,42.0,29.0,50.0,48.0,28.0,44.0,16.0,26.0,12.0,18.0,Cromwell
Motor vehicle theft theft,,17.0,21.0,18.0,16.0,15.0,13.0,4.0,6.0,32.0,23.0,Cromwell
Larceny-theft,,256.0,265.0,310.0,290.0,297.0,233.0,257.0,262.0,300.0,328.0,Cromwell
Rape,,3.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,Cromwell
Property crime,,315.0,315.0,378.0,354.0,340.0,290.0,277.0,294.0,344.0,369.0,Cromwell
Arson,1.0,3.0,3.0,6.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0,Danbury
Violent crime,132,146.0,109.0,130.0,116.0,164.0,109.0,108.0,150.0,157.0,161.0,Danbury
Murder,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,Danbury
Aggravated assault,55.0,49.0,52.0,53.0,47.0,53.0,40.0,28.0,54.0,48.0,56.0,Danbury
Robbery,62.0,75.0,41.0,50.0,46.0,76.0,45.0,53.0,64.0,64.0,75.0,Danbury
Burglary,257.0,275.0,275.0,219.0,258.0,343.0,287.0,221.0,230.0,178.0,168.0,Danbury
Motor vehicle theft theft,153.0,138.0,114.0,98.0,80.0,62.0,74.0,64.0,115.0,113.0,139.0,Danbury
Larceny-theft,1191.0,1069.0,1237.0,1219.0,1177.0,1183.0,1201.0,972.0,1007.0,1070.0,1056.0,Danbury
Rape,11.0,20.0,15.0,25.0,21.0,34.0,23.0,,31.0,45.0,30.0,Danbury
Property crime,1601.0,1482.0,1626.0,1536.0,1515.0,1588.0,1562.0,1257.0,1352.0,1361.0,1363.0,Danbury
Arson,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Darien
Violent crime,47,3.0,7.0,14.0,1.0,6.0,2.0,2.0,5.0,3.0,1.0,Darien
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Darien
Aggravated assault,44.0,2.0,3.0,10.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,Darien
Robbery,3.0,1.0,4.0,4.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,Darien
Burglary,21.0,31.0,37.0,17.0,39.0,21.0,13.0,13.0,24.0,31.0,39.0,Darien
Motor vehicle theft theft,5.0,13.0,6.0,2.0,6.0,9.0,1.0,2.0,7.0,17.0,16.0,Darien
Larceny-theft,159.0,162.0,164.0,111.0,97.0,120.0,85.0,65.0,160.0,174.0,187.0,Darien
Rape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Darien
Property crime,185.0,206.0,207.0,130.0,142.0,150.0,99.0,80.0,191.0,222.0,242.0,Darien
Arson,,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,Derby
Violent crime,,24.0,21.0,26.0,36.0,22.0,28.0,22.0,24.0,31.0,39.0,Derby
Murder,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Derby
Aggravated assault,,11.0,7.0,10.0,25.0,12.0,9.0,9.0,12.0,13.0,12.0,Derby
Robbery,,11.0,8.0,11.0,9.0,9.0,10.0,11.0,9.0,14.0,21.0,Derby
Burglary,,100.0,61.0,105.0,69.0,75.0,92.0,51.0,72.0,65.0,65.0,Derby
Motor vehicle theft theft,,45.0,27.0,23.0,31.0,27.0,34.0,25.0,21.0,24.0,38.0,Derby
Larceny-theft,,326.0,256.0,258.0,280.0,271.0,271.0,240.0,238.0,272.0,195.0,Derby
Rape,,2.0,6.0,4.0,2.0,1.0,8.0,2.0,3.0,4.0,6.0,Derby
Property crime,,471.0,344.0,386.0,380.0,373.0,397.0,316.0,331.0,361.0,298.0,Derby
Arson,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Hampton
Violent crime,1,3.0,8.0,1.0,9.0,11.0,5.0,5.0,3.0,4.0,4.0,East Hampton
Murder,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,East Hampton
Aggravated assault,1.0,1.0,6.0,0.0,6.0,8.0,2.0,5.0,1.0,1.0,4.0,East Hampton
Robbery,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,East Hampton
Burglary,20.0,26.0,39.0,24.0,54.0,42.0,34.0,43.0,14.0,18.0,10.0,East Hampton
Motor vehicle theft theft,10.0,6.0,9.0,0.0,9.0,6.0,5.0,3.0,2.0,2.0,10.0,East Hampton
Larceny-theft,80.0,149.0,103.0,78.0,97.0,197.0,109.0,93.0,55.0,67.0,87.0,East Hampton
Rape,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,East Hampton
Property crime,110.0,181.0,151.0,102.0,160.0,245.0,148.0,139.0,71.0,87.0,107.0,East Hampton
Arson,10.0,12.0,9.0,10.0,10.0,10.0,11.0,9.0,7.0,12.0,10.0,East Hartford
Violent crime,235,221.0,222.0,180.0,186.0,173.0,192.0,182.0,131.0,168.0,147.0,East Hartford
Murder,1.0,3.0,1.0,2.0,6.0,0.0,2.0,1.0,2.0,1.0,4.0,East Hartford
Aggravated assault,108.0,103.0,111.0,87.0,86.0,72.0,81.0,87.0,50.0,70.0,66.0,East Hartford
Robbery,99.0,100.0,88.0,78.0,74.0,79.0,83.0,63.0,55.0,73.0,51.0,East Hartford
Burglary,286.0,349.0,361.0,328.0,345.0,325.0,362.0,327.0,283.0,196.0,247.0,East Hartford
Motor vehicle theft theft,222.0,235.0,181.0,169.0,158.0,138.0,182.0,120.0,137.0,156.0,143.0,East Hartford
Larceny-theft,1249.0,1030.0,1069.0,1173.0,1042.0,938.0,1029.0,998.0,800.0,754.0,922.0,East Hartford
Rape,27.0,15.0,22.0,13.0,20.0,22.0,26.0,31.0,24.0,24.0,26.0,East Hartford
Property crime,1757.0,1614.0,1611.0,1670.0,1545.0,1401.0,1573.0,1445.0,1220.0,1106.0,1312.0,East Hartford
Arson,5.0,2.0,3.0,0.0,1.0,4.0,4.0,2.0,4.0,0.0,1.0,East Haven
Violent crime,25,42.0,50.0,35.0,43.0,24.0,32.0,29.0,33.0,25.0,32.0,East Haven
Murder,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,East Haven
Aggravated assault,6.0,10.0,24.0,14.0,20.0,12.0,10.0,14.0,14.0,12.0,14.0,East Haven
Robbery,17.0,26.0,22.0,18.0,20.0,12.0,15.0,12.0,11.0,8.0,14.0,East Haven
Burglary,99.0,123.0,121.0,147.0,119.0,117.0,166.0,95.0,110.0,101.0,101.0,East Haven
Motor vehicle theft theft,96.0,107.0,108.0,71.0,81.0,107.0,67.0,101.0,101.0,40.0,98.0,East Haven
Larceny-theft,386.0,513.0,590.0,500.0,744.0,611.0,642.0,558.0,506.0,506.0,458.0,East Haven
Rape,1.0,6.0,4.0,3.0,3.0,0.0,6.0,3.0,8.0,2.0,4.0,East Haven
Property crime,581.0,743.0,819.0,718.0,944.0,835.0,875.0,754.0,717.0,647.0,657.0,East Haven
Arson,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Easton
Violent crime,4,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,Easton
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Easton
Aggravated assault,3.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,Easton
Robbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Easton
Burglary,14.0,7.0,6.0,27.0,15.0,3.0,17.0,15.0,10.0,8.0,7.0,Easton
Motor vehicle theft theft,6.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Easton
Larceny-theft,22.0,18.0,23.0,32.0,20.0,19.0,22.0,14.0,20.0,16.0,33.0,Easton
Rape,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Easton
Property crime,42.0,28.0,29.0,62.0,35.0,23.0,40.0,30.0,30.0,24.0,40.0,Easton
Arson,2.0,9.0,2.0,1.0,8.0,7.0,4.0,4.0,0.0,9.0,1.0,East Windsor
Violent crime,12,26.0,17.0,12.0,13.0,14.0,18.0,16.0,23.0,16.0,16.0,East Windsor
Murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,East Windsor
Aggravated assault,4.0,6.0,7.0,7.0,7.0,8.0,5.0,4.0,6.0,4.0,8.0,East Windsor
Robbery,5.0,15.0,7.0,3.0,4.0,3.0,6.0,8.0,11.0,3.0,5.0,East Windsor
Burglary,70.0,52.0,43.0,64.0,53.0,55.0,61.0,48.0,50.0,37.0,20.0,East Windsor
Motor vehicle theft theft,55.0,39.0,28.0,44.0,21.0,20.0,9.0,9.0,33.0,19.0,10.0,East Windsor
Larceny-theft,274.0,266.0,329.0,298.0,235.0,220.0,268.0,260.0,317.0,263.0,167.0,East Windsor
Rape,3.0,4.0,3.0,2.0,2.0,3.0,7.0,3.0,5.0,9.0,3.0,East Windsor
Property crime,399.0,357.0,400.0,406.0,309.0,295.0,338.0,317.0,400.0,319.0,197.0,East Windsor
Arson,4.0,5.0,4.0,6.0,,,5.0,0.0,8.0,1.0,8.0,Enfield
Violent crime,94,62.0,51.0,48.0,,,30.0,50.0,53.0,52.0,75.0,Enfield
Murder,1.0,3.0,2.0,0.0,,,0.0,0.0,2.0,0.0,1.0,Enfield
Aggravated assault,54.0,28.0,26.0,28.0,,,18.0,30.0,28.0,26.0,47.0,Enfield
Robbery,31.0,22.0,23.0,20.0,,,12.0,19.0,22.0,16.0,20.0,Enfield
Burglary,174.0,157.0,162.0,176.0,,,198.0,142.0,131.0,125.0,161.0,Enfield
Motor vehicle theft theft,123.0,67.0,54.0,46.0,,,31.0,25.0,41.0,41.0,51.0,Enfield
Larceny-theft,836.0,773.0,814.0,710.0,,,591.0,690.0,588.0,626.0,574.0,Enfield
Rape,8.0,9.0,0.0,0.0,,,0.0,,1.0,10.0,7.0,Enfield
Property crime,1133.0,997.0,1030.0,932.0,,,820.0,857.0,760.0,792.0,786.0,Enfield
Arson,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,0.0,Fairfield
Violent crime,36,33.0,39.0,37.0,35.0,24.0,33.0,28.0,33.0,21.0,38.0,Fairfield
Murder,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fairfield
Aggravated assault,21.0,17.0,20.0,26.0,18.0,14.0,18.0,7.0,20.0,12.0,18.0,Fairfield
Robbery,11.0,14.0,12.0,9.0,15.0,9.0,13.0,16.0,9.0,5.0,17.0,Fairfield
Burglary,167.0,174.0,152.0,218.0,118.0,194.0,231.0,173.0,196.0,142.0,121.0,Fairfield
Motor vehicle theft theft,72.0,56.0,48.0,54.0,77.0,52.0,70.0,39.0,29.0,35.0,61.0,Fairfield
Larceny-theft,871.0,753.0,881.0,838.0,849.0,885.0,1000.0,936.0,942.0,768.0,820.0,Fairfield
Rape,3.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,3.0,Fairfield
Property crime,1110.0,983.0,1081.0,1110.0,1044.0,1131.0,1301.0,1148.0,1167.0,945.0,1002.0,Fairfield
Arson,0.0,2.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,Farmington
Violent crime,14,19.0,10.0,17.0,11.0,16.0,24.0,20.0,20.0,7.0,17.0,Farmington
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Farmington
Aggravated assault,1.0,7.0,3.0,3.0,1.0,4.0,5.0,6.0,2.0,3.0,3.0,Farmington
Robbery,10.0,12.0,7.0,9.0,4.0,12.0,17.0,11.0,12.0,1.0,10.0,Farmington
