Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,City
Arson,3.0,2.0,3.0,3.0,3.0,6.0,6.0,7.0,4.0,2.0,2.0,Groton Town
Violent crime,17,21.0,29.0,31.0,29.0,36.0,48.0,47.0,42.0,46.0,38.0,Groton Town
Murder,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Groton Town
Aggravated assault,7.0,11.0,11.0,17.0,14.0,17.0,32.0,22.0,24.0,21.0,25.0,Groton Town
Robbery,7.0,9.0,10.0,10.0,8.0,12.0,8.0,8.0,7.0,20.0,7.0,Groton Town
Burglary,60.0,168.0,147.0,68.0,95.0,70.0,72.0,75.0,62.0,54.0,74.0,Groton Town
Motor vehicle theft theft,24.0,23.0,17.0,13.0,11.0,25.0,23.0,18.0,36.0,14.0,20.0,Groton Town
Larceny-theft,456.0,385.0,429.0,461.0,403.0,458.0,515.0,492.0,466.0,370.0,381.0,Groton Town
Rape,3.0,1.0,5.0,4.0,6.0,7.0,8.0,17.0,11.0,5.0,5.0,Groton Town
Property crime,540.0,576.0,593.0,542.0,509.0,553.0,610.0,585.0,564.0,438.0,475.0,Groton Town
Arson,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,Ansonia
Violent crime,22,38.0,26.0,36.0,27.0,30.0,29.0,33.0,36.0,25.0,24.0,Ansonia
Murder,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Ansonia
Aggravated assault,13.0,14.0,10.0,8.0,7.0,7.0,10.0,12.0,12.0,8.0,12.0,Ansonia
Robbery,6.0,21.0,12.0,22.0,18.0,17.0,15.0,16.0,18.0,12.0,10.0,Ansonia
Burglary,52.0,38.0,43.0,36.0,36.0,44.0,80.0,59.0,62.0,47.0,45.0,Ansonia
Motor vehicle theft theft,34.0,51.0,36.0,38.0,39.0,39.0,58.0,50.0,30.0,39.0,41.0,Ansonia
Larceny-theft,297.0,287.0,268.0,278.0,249.0,271.0,317.0,284.0,280.0,264.0,245.0,Ansonia
Rape,3.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,6.0,5.0,2.0,Ansonia
Property crime,383.0,376.0,347.0,352.0,324.0,354.0,455.0,393.0,372.0,350.0,331.0,Ansonia
Arson,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Avon
Violent crime,5,3.0,4.0,8.0,5.0,0.0,5.0,12.0,2.0,2.0,1.0,Avon
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avon
Aggravated assault,2.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,Avon
Robbery,0.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,Avon
Burglary,30.0,11.0,7.0,28.0,38.0,28.0,25.0,20.0,20.0,14.0,4.0,Avon
Motor vehicle theft theft,8.0,1.0,3.0,6.0,1.0,2.0,1.0,6.0,8.0,3.0,8.0,Avon
Larceny-theft,170.0,178.0,125.0,138.0,147.0,149.0,143.0,117.0,142.0,130.0,119.0,Avon
Rape,3.0,0.0,1.0,3.0,1.0,0.0,2.0,8.0,1.0,1.0,0.0,Avon
Property crime,208.0,190.0,135.0,172.0,186.0,179.0,169.0,143.0,170.0,147.0,131.0,Avon
Arson,3.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,Berlin
Violent crime,19,13.0,21.0,12.0,15.0,15.0,21.0,14.0,11.0,15.0,20.0,Berlin
Murder,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Berlin
Aggravated assault,2.0,8.0,10.0,6.0,11.0,8.0,16.0,5.0,7.0,6.0,10.0,Berlin
Robbery,10.0,4.0,9.0,5.0,2.0,6.0,5.0,4.0,1.0,7.0,7.0,Berlin
Burglary,88.0,89.0,82.0,62.0,69.0,80.0,55.0,41.0,57.0,59.0,38.0,Berlin
Motor vehicle theft theft,40.0,22.0,31.0,13.0,11.0,20.0,11.0,11.0,19.0,19.0,28.0,Berlin
Larceny-theft,293.0,299.0,366.0,231.0,260.0,279.0,243.0,225.0,222.0,243.0,257.0,Berlin
Rape,1.0,1.0,2.0,1.0,2.0,1.0,0.0,5.0,3.0,2.0,3.0,Berlin
Property crime,421.0,410.0,479.0,306.0,340.0,379.0,309.0,277.0,298.0,321.0,323.0,Berlin
Arson,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,Bethel
Violent crime,7,6.0,4.0,1.0,5.0,1.0,6.0,3.0,0.0,4.0,1.0,Bethel
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bethel
Aggravated assault,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Bethel
Robbery,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,Bethel
Burglary,22.0,22.0,30.0,36.0,31.0,47.0,48.0,31.0,22.0,26.0,26.0,Bethel
Motor vehicle theft theft,6.0,2.0,9.0,7.0,6.0,6.0,10.0,6.0,7.0,2.0,15.0,Bethel
Larceny-theft,93.0,84.0,128.0,171.0,158.0,253.0,263.0,143.0,135.0,141.0,121.0,Bethel
Rape,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,0.0,Bethel
Property crime,121.0,108.0,167.0,214.0,195.0,306.0,321.0,180.0,164.0,169.0,162.0,Bethel
