Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,,8.0,6.0,6.0,11.0,6.0,2.0,6.0,8.0,2.0,7.0
assault,,7.0,11.0,15.0,2.0,6.0,0.0,5.0,3.0,0.0,2.0
murder,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
arson,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
robbery,,0.0,0.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0
burglary,,54.0,33.0,56.0,45.0,67.0,67.0,39.0,36.0,27.0,21.0
property,,156.0,137.0,161.0,165.0,191.0,170.0,146.0,133.0,92.0,127.0
violent-crimes,,8.0,12.0,20.0,7.0,15.0,2.0,9.0,9.0,1.0,3.0
rape,,1.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0
larceny-theft,,94.0,98.0,99.0,109.0,118.0,101.0,101.0,89.0,63.0,99.0
