Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,,17.0,21.0,18.0,16.0,15.0,13.0,4.0,6.0,32.0,23.0
assault,,7.0,12.0,6.0,4.0,1.0,4.0,1.0,5.0,5.0,3.0
murder,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,,10.0,3.0,6.0,12.0,4.0,6.0,8.0,1.0,4.0,4.0
burglary,,42.0,29.0,50.0,48.0,28.0,44.0,16.0,26.0,12.0,18.0
property,,315.0,315.0,378.0,354.0,340.0,290.0,277.0,294.0,344.0,369.0
violent-crimes,,20.0,17.0,14.0,17.0,6.0,11.0,9.0,8.0,9.0,7.0
rape,,3.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
larceny-theft,,256.0,265.0,310.0,290.0,297.0,233.0,257.0,262.0,300.0,328.0
