Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,32.0,31.0,10.0,27.0,,7.0,10.0,11.0,23.0,22.0,28.0
assault,2.0,14.0,4.0,5.0,,8.0,4.0,4.0,2.0,2.0,5.0
murder,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0
arson,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0
robbery,2.0,1.0,7.0,1.0,,4.0,4.0,7.0,8.0,3.0,2.0
burglary,27.0,38.0,30.0,56.0,,33.0,49.0,42.0,49.0,16.0,32.0
property,278.0,211.0,202.0,288.0,,198.0,225.0,228.0,241.0,188.0,192.0
violent-crimes,6,20.0,16.0,11.0,,12.0,10.0,18.0,15.0,6.0,12.0
rape,2.0,5.0,5.0,4.0,,0.0,2.0,7.0,4.0,1.0,5.0
larceny-theft,219.0,142.0,162.0,205.0,,158.0,166.0,175.0,169.0,150.0,132.0
