City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Plainville,Plainville Police Dept,CT,131.0,149.0,165.0,156.0,119.0,117.0,159.0,108.0,107.0,95.0,100.0,94.0,74.0,102.0,67.0,97.0,86.0,81.0,75.0,68.0,70.0,65.0,77.0,83.0,89.0,59.0,57.0,145.0,76.0,84.0,,65.0,77.0,83.0,89.0,59.0,57.0,145.0,76.0,84.0,51.0,45.0,0.0,0.0,65.0,0.0,0.0,77.0,0.0,0.0,83.0,0.0,0.0,89.0,0.0,0.0,59.0,0.0,0.0,57.0,0.0,0.0,145.0,0.0,0.0,76.0,0.0,0.0,84.0
Plymouth,Plymouth Police Dept,CT,89.0,80.0,62.0,65.0,91.0,141.0,107.0,97.0,97.0,65.0,84.0,93.0,48.0,49.0,40.0,48.0,76.0,49.0,49.0,33.0,47.0,51.0,63.0,44.0,44.0,58.0,35.0,38.0,52.0,45.0,,51.0,,40.0,44.0,58.0,35.0,38.0,52.0,45.0,23.0,20.0,0.0,0.0,51.0,,,,-4.0,-0.0909090909091,,0.0,0.0,44.0,0.0,0.0,58.0,0.0,0.0,35.0,0.0,0.0,38.0,0.0,0.0,52.0,0.0,0.0,45.0
Ridgefield,Ridgefield Police Dept,CT,97.0,74.0,61.0,72.0,82.0,69.0,55.0,108.0,61.0,67.0,36.0,51.0,40.0,41.0,21.0,24.0,8.0,12.0,13.0,5.0,10.0,11.0,15.0,16.0,7.0,7.0,12.0,10.0,7.0,3.0,,10.0,15.0,16.0,7.0,6.0,12.0,10.0,7.0,3.0,14.0,7.0,-1.0,-0.0909090909091,,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,7.0,-1.0,-0.142857142857,,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,3.0
Rocky Hill,Rocky Hill Police Dept,CT,154.0,129.0,137.0,116.0,99.0,93.0,74.0,105.0,79.0,70.0,61.0,62.0,48.0,54.0,38.0,39.0,36.0,36.0,43.0,42.0,,22.0,32.0,25.0,48.0,34.0,28.0,33.0,27.0,49.0,,,32.0,25.0,48.0,34.0,28.0,33.0,27.0,49.0,27.0,28.0,,,,0.0,0.0,32.0,0.0,0.0,25.0,0.0,0.0,48.0,0.0,0.0,34.0,0.0,0.0,28.0,0.0,0.0,33.0,0.0,0.0,27.0,0.0,0.0,49.0
Seymour,Seymour Police Dept,CT,66.0,50.0,71.0,96.0,89.0,74.0,71.0,76.0,85.0,59.0,64.0,78.0,82.0,80.0,53.0,50.0,37.0,43.0,44.0,53.0,37.0,51.0,48.0,31.0,67.0,46.0,59.0,45.0,69.0,47.0,,51.0,48.0,31.0,66.0,46.0,59.0,45.0,69.0,47.0,20.0,42.0,0.0,0.0,51.0,0.0,0.0,48.0,0.0,0.0,31.0,-1.0,-0.0149253731343,,0.0,0.0,46.0,0.0,0.0,59.0,0.0,0.0,45.0,0.0,0.0,69.0,0.0,0.0,47.0
Shelton,Shelton Police Dept,CT,136.0,124.0,91.0,153.0,168.0,164.0,184.0,221.0,195.0,162.0,128.0,184.0,125.0,144.0,133.0,91.0,134.0,111.0,97.0,123.0,97.0,89.0,100.0,116.0,97.0,115.0,131.0,134.0,111.0,98.0,,88.0,100.0,116.0,97.0,115.0,131.0,134.0,111.0,97.0,87.0,134.0,-1.0,-0.0112359550562,,0.0,0.0,100.0,0.0,0.0,116.0,0.0,0.0,97.0,0.0,0.0,115.0,0.0,0.0,131.0,0.0,0.0,134.0,0.0,0.0,111.0,-1.0,-0.0102040816327,
Simsbury,Simsbury Police Dept,CT,88.0,67.0,76.0,72.0,57.0,55.0,53.0,58.0,47.0,59.0,65.0,79.0,48.0,45.0,31.0,39.0,38.0,25.0,26.0,28.0,31.0,21.0,31.0,31.0,36.0,20.0,20.0,25.0,24.0,34.0,,16.0,31.0,31.0,36.0,20.0,20.0,25.0,24.0,33.0,12.0,42.0,-5.0,-0.238095238095,,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,36.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,25.0,0.0,0.0,24.0,-1.0,-0.0294117647059,
South Windsor,South Windsor Police Dept,CT,125.0,103.0,,119.0,90.0,90.0,123.0,69.0,89.0,72.0,62.0,79.0,82.0,60.0,54.0,58.0,42.0,42.0,65.0,73.0,89.0,82.0,88.0,53.0,62.0,56.0,78.0,48.0,61.0,60.0,,82.0,88.0,53.0,62.0,56.0,78.0,48.0,61.0,60.0,37.0,58.0,0.0,0.0,82.0,0.0,0.0,88.0,0.0,0.0,53.0,0.0,0.0,62.0,0.0,0.0,56.0,0.0,0.0,78.0,0.0,0.0,48.0,0.0,0.0,61.0,0.0,0.0,60.0
Southington,Southington Police Dept,CT,426.0,400.0,336.0,308.0,285.0,350.0,,340.0,241.0,317.0,206.0,220.0,165.0,189.0,129.0,140.0,171.0,160.0,163.0,165.0,,141.0,166.0,242.0,107.0,124.0,124.0,130.0,140.0,123.0,,,166.0,238.0,107.0,124.0,124.0,130.0,139.0,121.0,135.0,105.0,,,,0.0,0.0,166.0,-4.0,-0.0165289256198,,0.0,0.0,107.0,0.0,0.0,124.0,0.0,0.0,124.0,0.0,0.0,130.0,-1.0,-0.00714285714286,,-2.0,-0.0162601626016,
Stamford,Stamford Police Dept,CT,1230.0,1637.0,1456.0,1458.0,1602.0,1375.0,1236.0,1037.0,1105.0,1078.0,935.0,704.0,491.0,531.0,341.0,297.0,357.0,249.0,319.0,359.0,426.0,411.0,333.0,324.0,371.0,349.0,282.0,290.0,354.0,277.0,,,332.0,325.0,370.0,348.0,282.0,290.0,354.0,275.0,200.0,268.0,,,,-1.0,-0.003003003003,,1.0,0.00308641975309,,-1.0,-0.00269541778976,,-1.0,-0.00286532951289,,0.0,0.0,282.0,0.0,0.0,290.0,0.0,0.0,354.0,-2.0,-0.0072202166065,
Stonington,Stonington Police Dept,CT,105.0,114.0,146.0,113.0,115.0,179.0,159.0,86.0,82.0,72.0,67.0,66.0,44.0,33.0,34.0,48.0,18.0,73.0,43.0,63.0,69.0,40.0,32.0,19.0,49.0,41.0,52.0,66.0,92.0,46.0,,34.0,6.0,19.0,28.0,41.0,52.0,66.0,92.0,46.0,42.0,55.0,-6.0,-0.15,,-26.0,-0.8125,,0.0,0.0,19.0,-21.0,-0.428571428571,,0.0,0.0,41.0,0.0,0.0,52.0,0.0,0.0,66.0,0.0,0.0,92.0,0.0,0.0,46.0
Stratford,Stratford Police Dept,CT,585.0,553.0,644.0,476.0,447.0,427.0,459.0,563.0,449.0,294.0,409.0,426.0,318.0,270.0,240.0,272.0,233.0,294.0,314.0,296.0,212.0,209.0,209.0,210.0,215.0,188.0,309.0,245.0,252.0,225.0,,209.0,209.0,208.0,215.0,188.0,309.0,245.0,251.0,224.0,181.0,177.0,0.0,0.0,209.0,0.0,0.0,209.0,-2.0,-0.00952380952381,,0.0,0.0,215.0,0.0,0.0,188.0,0.0,0.0,309.0,0.0,0.0,245.0,-1.0,-0.00396825396825,,-1.0,-0.00444444444444,
