Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,,257.0,220.0,248.0,238.0,236.0,234.0,256.0,314.0,310.0,239.0,225.0
assault,,12.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
robbery,,5.0,3.0,7.0,4.0,3.0,1.0,7.0,2.0,3.0,4.0,0.0
mv-theft,,30.0,16.0,11.0,17.0,2.0,9.0,15.0,14.0,12.0,22.0,32.0
burglary,,32.0,25.0,48.0,34.0,28.0,33.0,27.0,49.0,27.0,28.0,33.0
property,,319.0,261.0,307.0,289.0,266.0,276.0,298.0,377.0,349.0,289.0,290.0
violent-crimes,,17.0,7.0,11.0,10.0,6.0,3.0,9.0,2.0,3.0,9.0,5.0
rape,,0.0,4.0,1.0,4.0,1.0,2.0,,0.0,0.0,4.0,
