Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,,326.0,256.0,258.0,280.0,271.0,271.0,240.0,238.0,272.0,195.0
assault,,11.0,7.0,10.0,25.0,12.0,9.0,9.0,12.0,13.0,12.0
murder,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
arson,,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0
robbery,,11.0,8.0,11.0,9.0,9.0,10.0,11.0,9.0,14.0,21.0
mv-theft,,45.0,27.0,23.0,31.0,27.0,34.0,25.0,21.0,24.0,38.0
burglary,,100.0,61.0,105.0,69.0,75.0,92.0,51.0,72.0,65.0,65.0
property,,471.0,344.0,386.0,380.0,373.0,397.0,316.0,331.0,361.0,298.0
violent-crimes,,24.0,21.0,26.0,36.0,22.0,28.0,22.0,24.0,31.0,39.0
rape,,2.0,6.0,4.0,2.0,1.0,8.0,2.0,3.0,4.0,6.0
