City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Waterbury,Waterbury Police Dept,CT,6478.0,6951.0,7249.0,8433.0,9086.0,9410.0,9329.0,8416.0,8149.0,8128.0,8273.0,7295.0,6538.0,6413.0,5775.0,6438.0,6326.0,5941.0,6396.0,6513.0,6027.0,6039.0,5703.0,5658.0,5635.0,4646.0,4571.0,4713.0,4636.0,4591.0,,6039.0,5703.0,5658.0,5635.0,4646.0,4571.0,4713.0,4636.0,4591.0,4524.0,4199.0,0.0,0.0,6039.0,0.0,0.0,5703.0,0.0,0.0,5658.0,0.0,0.0,5635.0,0.0,0.0,4646.0,0.0,0.0,4571.0,0.0,0.0,4713.0,0.0,0.0,4636.0,0.0,0.0,4591.0
Waterford,Waterford Police Dept,CT,603.0,584.0,649.0,872.0,777.0,746.0,949.0,830.0,836.0,739.0,805.0,882.0,929.0,742.0,621.0,687.0,609.0,598.0,584.0,612.0,679.0,540.0,576.0,502.0,609.0,503.0,485.0,515.0,511.0,440.0,,512.0,557.0,496.0,602.0,496.0,485.0,515.0,500.0,430.0,403.0,438.0,-28.0,-0.0518518518519,,-19.0,-0.0329861111111,,-6.0,-0.0119521912351,,-7.0,-0.0114942528736,,-7.0,-0.013916500994,,0.0,0.0,485.0,0.0,0.0,515.0,-11.0,-0.0215264187867,,-10.0,-0.0227272727273,
Watertown,Watertown Police Dept,CT,542.0,414.0,460.0,539.0,544.0,618.0,702.0,634.0,649.0,616.0,526.0,612.0,357.0,389.0,373.0,459.0,425.0,393.0,356.0,344.0,350.0,437.0,361.0,353.0,364.0,399.0,448.0,520.0,454.0,483.0,,435.0,360.0,353.0,361.0,399.0,448.0,520.0,401.0,479.0,453.0,435.0,-2.0,-0.0045766590389,,-1.0,-0.00277008310249,,0.0,0.0,353.0,-3.0,-0.00824175824176,,0.0,0.0,399.0,0.0,0.0,448.0,0.0,0.0,520.0,-53.0,-0.116740088106,,-4.0,-0.00828157349896,
West Hartford,West Hartford Police Dept,CT,2408.0,2727.0,2577.0,2577.0,2517.0,2557.0,2656.0,2450.0,2305.0,2033.0,2081.0,2036.0,1912.0,1985.0,1752.0,1990.0,1748.0,1791.0,1858.0,1860.0,1640.0,1538.0,1542.0,1699.0,1704.0,1466.0,1517.0,1695.0,1382.0,1399.0,,1538.0,1468.0,1640.0,1708.0,1464.0,1517.0,1695.0,1379.0,1395.0,1474.0,1589.0,0.0,0.0,1538.0,-74.0,-0.0479896238651,,-59.0,-0.0347263095939,,4.0,0.00234741784038,,-2.0,-0.00136425648022,,0.0,0.0,1517.0,0.0,0.0,1695.0,-3.0,-0.00217076700434,,-4.0,-0.00285918513224,
West Haven,West Haven Police Dept,CT,2174.0,2242.0,2131.0,2700.0,2877.0,3043.0,3274.0,2961.0,2709.0,2778.0,2893.0,2823.0,2528.0,2281.0,2013.0,1854.0,2160.0,1871.0,1969.0,1806.0,1661.0,1781.0,1856.0,1587.0,1532.0,1400.0,1265.0,1447.0,1516.0,1520.0,,1781.0,1856.0,1587.0,1532.0,1400.0,1265.0,1447.0,1516.0,1520.0,867.0,1042.0,0.0,0.0,1781.0,0.0,0.0,1856.0,0.0,0.0,1587.0,0.0,0.0,1532.0,0.0,0.0,1400.0,0.0,0.0,1265.0,0.0,0.0,1447.0,0.0,0.0,1516.0,0.0,0.0,1520.0
Weston,Weston Police Dept,CT,117.0,121.0,110.0,89.0,74.0,112.0,98.0,64.0,114.0,74.0,134.0,110.0,90.0,89.0,87.0,90.0,74.0,74.0,74.0,56.0,75.0,60.0,53.0,73.0,61.0,68.0,54.0,41.0,37.0,33.0,,60.0,52.0,72.0,61.0,68.0,54.0,41.0,37.0,33.0,24.0,15.0,0.0,0.0,60.0,-1.0,-0.0188679245283,,-1.0,-0.013698630137,,0.0,0.0,61.0,0.0,0.0,68.0,0.0,0.0,54.0,0.0,0.0,41.0,0.0,0.0,37.0,0.0,0.0,33.0
Westport,Westport Police Dept,CT,1291.0,1280.0,1244.0,875.0,874.0,957.0,822.0,790.0,811.0,676.0,649.0,772.0,723.0,689.0,575.0,542.0,559.0,510.0,486.0,499.0,386.0,384.0,354.0,435.0,342.0,393.0,404.0,318.0,257.0,329.0,,319.0,352.0,435.0,337.0,393.0,404.0,318.0,256.0,344.0,276.0,248.0,-65.0,-0.169270833333,,-2.0,-0.00564971751412,,0.0,0.0,435.0,-5.0,-0.0146198830409,,0.0,0.0,393.0,0.0,0.0,404.0,0.0,0.0,318.0,-1.0,-0.00389105058366,,15.0,0.0455927051672,
Wethersfield,Wethersfield Police Dept,CT,697.0,730.0,654.0,667.0,676.0,725.0,733.0,732.0,685.0,549.0,582.0,580.0,512.0,484.0,457.0,565.0,553.0,569.0,592.0,750.0,575.0,618.0,579.0,484.0,483.0,483.0,366.0,410.0,387.0,382.0,,601.0,580.0,485.0,476.0,479.0,366.0,410.0,385.0,372.0,324.0,,-17.0,-0.0275080906149,,1.0,0.00172711571675,,1.0,0.00206611570248,,-7.0,-0.0144927536232,,-4.0,-0.00828157349896,,0.0,0.0,366.0,0.0,0.0,410.0,-2.0,-0.00516795865633,,-10.0,-0.0261780104712,
Willimantic,Willimantic Police Dept,CT,889.0,1037.0,1142.0,1193.0,1333.0,963.0,840.0,916.0,795.0,652.0,1052.0,896.0,704.0,867.0,753.0,786.0,691.0,865.0,690.0,601.0,778.0,439.0,492.0,524.0,528.0,471.0,391.0,433.0,363.0,304.0,,,492.0,524.0,526.0,470.0,391.0,433.0,361.0,301.0,256.0,232.0,,,,0.0,0.0,492.0,0.0,0.0,524.0,-2.0,-0.00378787878788,,-1.0,-0.00212314225053,,0.0,0.0,391.0,0.0,0.0,433.0,-2.0,-0.00550964187328,,-3.0,-0.00986842105263,
Wilton,Wilton Police Dept,CT,224.0,177.0,184.0,180.0,221.0,208.0,231.0,278.0,216.0,214.0,199.0,238.0,153.0,166.0,181.0,209.0,206.0,133.0,128.0,116.0,126.0,150.0,120.0,109.0,104.0,97.0,116.0,93.0,113.0,62.0,,144.0,120.0,109.0,104.0,96.0,116.0,93.0,113.0,61.0,75.0,71.0,-6.0,-0.04,,0.0,0.0,120.0,0.0,0.0,109.0,0.0,0.0,104.0,-1.0,-0.0103092783505,,0.0,0.0,116.0,0.0,0.0,93.0,0.0,0.0,113.0,-1.0,-0.0161290322581,
Winchester,Winchester Town Police Dept,CT,295.0,236.0,159.0,197.0,225.0,219.0,253.0,207.0,188.0,159.0,156.0,240.0,248.0,152.0,206.0,155.0,116.0,145.0,228.0,223.0,258.0,250.0,241.0,251.0,215.0,220.0,223.0,253.0,192.0,160.0,,248.0,241.0,251.0,214.0,219.0,223.0,253.0,192.0,160.0,255.0,192.0,-2.0,-0.008,,0.0,0.0,241.0,0.0,0.0,251.0,-1.0,-0.0046511627907,,-1.0,-0.00454545454545,,0.0,0.0,223.0,0.0,0.0,253.0,0.0,0.0,192.0,0.0,0.0,160.0
Windsor Locks,Windsor Locks Police Dept,CT,246.0,229.0,357.0,346.0,345.0,414.0,332.0,323.0,271.0,278.0,262.0,269.0,284.0,223.0,170.0,249.0,255.0,233.0,186.0,,252.0,280.0,211.0,208.0,294.0,259.0,198.0,225.0,228.0,242.0,,278.0,211.0,202.0,288.0,,198.0,225.0,228.0,241.0,188.0,192.0,-2.0,-0.00714285714286,,0.0,0.0,211.0,-6.0,-0.0288461538462,,-6.0,-0.0204081632653,,,,,0.0,0.0,198.0,0.0,0.0,225.0,0.0,0.0,228.0,-1.0,-0.00413223140496,
Windsor,Windsor Police Dept,CT,884.0,851.0,922.0,919.0,833.0,886.0,756.0,809.0,715.0,734.0,824.0,708.0,644.0,680.0,520.0,603.0,581.0,529.0,564.0,634.0,567.0,541.0,588.0,610.0,578.0,504.0,466.0,429.0,420.0,460.0,,508.0,576.0,610.0,578.0,500.0,466.0,429.0,419.0,460.0,453.0,543.0,-33.0,-0.0609981515712,,-12.0,-0.0204081632653,,0.0,0.0,610.0,0.0,0.0,578.0,-4.0,-0.00793650793651,,0.0,0.0,466.0,0.0,0.0,429.0,-1.0,-0.00238095238095,,0.0,0.0,460.0
Wolcott,Wolcott Police Dept,CT,388.0,336.0,356.0,283.0,296.0,380.0,378.0,327.0,376.0,394.0,461.0,298.0,327.0,307.0,268.0,307.0,362.0,227.0,306.0,249.0,221.0,218.0,313.0,258.0,263.0,266.0,303.0,318.0,297.0,307.0,,210.0,312.0,258.0,263.0,269.0,303.0,318.0,297.0,307.0,234.0,288.0,-8.0,-0.0366972477064,,-1.0,-0.00319488817891,,0.0,0.0,258.0,0.0,0.0,263.0,3.0,0.0112781954887,,0.0,0.0,303.0,0.0,0.0,318.0,0.0,0.0,297.0,0.0,0.0,307.0
