Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,87.0,107.0,97.0,84.0,95.0,91.0,88.0,45.0,45.0,55.0,112.0
Violent crime,1590,1411.0,1503.0,1603.0,1624.0,1639.0,1655.0,1473.0,1380.0,1421.0,1353.0
Murder,24.0,31.0,31.0,33.0,26.0,27.0,23.0,23.0,19.0,32.0,14.0
Aggravated assault,761.0,680.0,782.0,921.0,982.0,955.0,965.0,840.0,814.0,835.0,798.0
Robbery,758.0,642.0,629.0,600.0,570.0,602.0,640.0,557.0,502.0,510.0,476.0
Burglary,1158.0,1168.0,1000.0,1135.0,1019.0,1271.0,1050.0,981.0,888.0,958.0,808.0
Motor vehicle theft theft,1709.0,1601.0,1326.0,993.0,837.0,859.0,802.0,639.0,750.0,897.0,773.0
Larceny-theft,5957.0,4437.0,4048.0,4061.0,3639.0,3372.0,3467.0,3416.0,3642.0,3613.0,3616.0
Rape,47.0,58.0,61.0,49.0,46.0,55.0,27.0,,45.0,44.0,65.0
Property crime,8824.0,7206.0,6374.0,6189.0,5495.0,5502.0,5319.0,5036.0,5280.0,5468.0,5197.0
